time,seconds_elapsed,z,y,x,label
1.61691E+18,-315.614854,-4.415642021,7.195931495,10.56893669,4
1.61691E+18,-315.604835,-4.77946715,13.50975867,10.71535124,4
1.61691E+18,-315.5948171,-2.270298217,14.93970379,5.637270558,4
1.61691E+18,-315.5847981,-5.778081882,5.790145244,0.278529357,4
1.61691E+18,-315.57478,-8.190971876,-2.708647549,-0.778586664,4
1.61691E+18,-315.564761,-6.053224518,-6.022184653,-1.814592677,4
1.61691E+18,-315.5547429,-4.962599027,-7.480745046,-2.494083299,4
1.61691E+18,-315.5447241,-5.276524691,-7.7528961,-2.775664737,4
1.61691E+18,-315.5347061,-5.967698445,-6.81281539,-3.03012056,4
1.61691E+18,-315.524687,-6.268999605,-5.30967585,-2.9938954,4
1.61691E+18,-315.5146692,-6.292996567,-3.80660353,-2.866990437,4
1.61691E+18,-315.5046501,-6.996182245,-1.85646198,-2.983945668,4
1.61691E+18,-315.4946321,-7.752719575,0.944422539,-2.73542362,4
1.61691E+18,-315.484613,-7.985126647,4.405144008,-2.263795996,4
1.61691E+18,-315.474595,-7.807062575,7.786686726,-2.24833773,4
1.61691E+18,-315.4645762,-7.068658283,9.586761633,-2.819441919,4
1.61691E+18,-315.4545581,-4.650492395,8.732980319,-3.393106023,4
1.61691E+18,-315.44454,-0.069520695,6.28440351,-3.963586528,4
1.61691E+18,-315.434521,4.587057741,2.933868509,-4.901661451,4
1.61691E+18,-315.4245029,5.174079046,0.114739893,-4.773956277,4
1.61691E+18,-315.4144839,3.763554077,-1.172640927,-3.964619378,4
1.61691E+18,-315.4044661,2.283220243,-1.368179866,-2.967948181,4
1.61691E+18,-315.394447,1.375783327,-1.742201394,-2.199599126,4
1.61691E+18,-315.3844292,0.86558924,-2.368361701,-1.664829401,4
1.61691E+18,-315.3744102,0.605599749,-2.726299525,-1.078451654,4
1.61691E+18,-315.3643918,1.155086566,-2.308418981,-0.309688757,4
1.61691E+18,-315.354373,1.599120373,-1.173245323,0.644957069,4
1.61691E+18,-315.344355,1.790301701,-0.099823479,1.535755862,4
1.61691E+18,-315.3343357,2.299787346,0.401043976,2.167509897,4
1.61691E+18,-315.3243181,3.313960298,0.290433729,2.566464645,4
1.61691E+18,-315.3142988,4.076663748,-0.51165656,2.536907419,4
1.61691E+18,-315.3042813,4.21042866,-1.520467692,2.142181394,4
1.61691E+18,-315.294262,3.629186523,-2.318120876,1.437107272,4
1.61691E+18,-315.2842439,2.793728801,-2.436561962,0.683354604,4
1.61691E+18,-315.2742249,2.419125674,-1.8327263,0.020320611,4
1.61691E+18,-315.264207,2.340394667,-0.82876553,-0.462223544,4
1.61691E+18,-315.2541877,2.473366382,0.138610014,-0.731428607,4
1.61691E+18,-315.2441702,2.859274164,0.979219127,-0.79869714,4
1.61691E+18,-315.2341521,3.263327258,1.732377335,-0.814583276,4
1.61691E+18,-315.2241328,3.658925828,2.155079016,-0.990524365,4
1.61691E+18,-315.214115,3.966884692,2.258877828,-1.431432733,4
1.61691E+18,-315.2040957,4.047862017,2.434410921,-1.984762197,4
1.61691E+18,-315.1940781,3.856427591,2.727957814,-2.645923674,4
1.61691E+18,-315.1840588,3.672943832,3.298049027,-3.48374111,4
